donor_id,area_id,full_name,blood_group,age,gender,phone,is_available,registered_on
30,10,Asma Sheikh,A+,36,Female,03111981186,1,2025-12-08
31,3,Ali Ahmed,A-,48,Male,03459910817,0,2024-07-29
32,2,Hamza Ali,A-,22,Male,03117774229,1,2026-01-05
33,6,Amna Wazir,O+,44,Female,03469770838,1,2025-02-23
34,8,Sana Ansari,A+,43,Female,03036033115,0,2025-04-20
35,9,Ahmed Afridi,A-,54,Male,03012229110,1,2025-01-05
36,8,Luqman Ali,A+,41,Male,03133646552,1,2025-12-09
37,3,Bushra Khan,B-,53,Female,03132737893,1,2025-02-26
38,12,Zubair Shah,O+,35,Male,03134533779,1,2025-05-18
39,11,Rabia Yousaf,B+,34,Female,03002548511,0,2025-08-08
40,12,Ahmed Iqbal,AB-,26,Male,03133710895,1,2025-08-27
41,6,Raheel Khan,O+,22,Male,03031604451,1,2026-01-18
42,4,Hassan Ahmed,A+,41,Male,03007003042,1,2025-02-11
43,3,Raheel Rehman,A-,27,Male,03113726327,1,2025-07-28
44,3,Sana Rehman,AB-,60,Female,03115476257,1,2024-09-19
45,4,Omar Ansari,A+,47,Male,03216120253,1,2025-01-15
46,11,Mohammad Iqbal,A+,22,Male,03136891254,1,2025-11-04
47,1,Sana Khan,O+,34,Female,03035453786,1,2024-09-20
48,7,Zubair Iqbal,B+,56,Male,03452940214,1,2026-01-12
49,6,Waseem Rehman,O+,51,Male,03454305700,1,2025-08-16
50,9,Sana Wazir,B+,60,Female,03016038571,1,2025-04-13
51,11,Mohammad Chaudhry,AB+,26,Male,03118053918,1,2025-06-24
52,5,Shahid Butt,A+,43,Male,03451006810,1,2025-03-21
53,8,Sana Afridi,B+,46,Female,03119576076,1,2024-11-21
54,4,Qasim Wazir,B+,23,Male,03116207974,1,2024-12-21
55,11,Imran Khattak,A-,22,Male,03337953166,1,2026-01-11
56,2,Sobia Khattak,B+,33,Female,03031093026,1,2025-08-10
57,8,Bushra Afridi,O+,53,Female,03113036059,0,2024-10-15
58,7,Bushra Shah,A-,38,Female,03339468772,1,2025-12-14
59,9,Zubair Khattak,B+,34,Male,03115652512,1,2025-10-10
60,6,Naveed Ali,O-,36,Male,03115558623,0,2025-04-24
61,2,Hassan Sheikh,A+,42,Male,03034589533,1,2025-07-30
62,10,Zara Rehman,O+,31,Female,03317534336,0,2024-06-21
63,7,Sobia Khattak,O+,40,Female,03137542890,1,2025-12-04
64,1,Nadia Khattak,A+,35,Female,03319147720,1,2025-07-04
65,1,Sobia Malik,AB+,47,Female,03039961107,1,2025-07-09
66,3,Aisha Ali,B-,45,Female,03038746014,1,2024-07-22
67,7,Ibrahim Afridi,B+,39,Male,03315668371,0,2025-02-14
68,11,Ahmed Shah,O+,40,Male,03112151225,0,2024-07-12
69,8,Ibrahim Khan,A-,27,Male,03113117636,1,2024-09-26
70,3,Naveed Baig,AB-,41,Male,03032921542,1,2025-04-15
71,2,Kamran Butt,B-,42,Male,03314327421,1,2026-01-28
72,10,Nadia Hussain,O-,37,Female,03463030966,1,2024-07-13
73,7,Usman Mirza,O+,50,Male,03211212267,1,2025-10-15
74,12,Tariq Afridi,O-,27,Male,03313955087,0,2025-11-17
75,12,Shahid Shah,AB-,48,Male,03338307727,1,2026-01-28
76,6,Bilal Baig,B+,33,Male,03337358385,1,2024-06-30
77,5,Hamza Khattak,A+,40,Male,03136709938,1,2026-02-01
78,12,Raheel Khan,AB+,30,Male,03015049282,1,2025-07-22
79,1,Waseem Khattak,B-,63,Male,03338519121,1,2024-09-04
80,8,Waseem Ansari,A+,60,Male,03467191135,1,2025-12-19
